Target Word,AI Prediction,Rule-Based Prediction,Entropy Prediction,Steps
ZÜRRA,ARAMA,MUARE,SOKRA,1
ZÜRRA,KOTRA,FODRA,MEZRA,2
ZÜRRA,ZÜRRA,ZÜRRA,ZÜRRA,3
ZÜRRA,ZÜRRA,ZÜRRA,ZÜRRA,4
ZÜRRA,ZÜRRA,ZÜRRA,ZÜRRA,5
ZÜRRA,ZÜRRA,ZÜRRA,ZÜRRA,6
KASTİ,KAPAK,HİSAR,KALIT,1
KASTİ,KALIŞ,KASİS,KATAR,2
KASTİ,KASİS,KASTİ,KASTİ,3
KASTİ,KASTİ,KASTİ,KASTİ,4
KASTİ,KASTİ,KASTİ,KASTİ,5
KASTİ,KASTİ,KASTİ,KASTİ,6
ŞİFRE,ÇELEK,ÇEVRE,KERİM,1
ŞİFRE,DİNME,ŞİFRE,LİBRE,2
ŞİFRE,CİZRE,ŞİFRE,FİFRE,3
ŞİFRE,FİFRE,ŞİFRE,ŞİFRE,4
ŞİFRE,ŞİFRE,ŞİFRE,ŞİFRE,5
ŞİFRE,ŞİFRE,ŞİFRE,ŞİFRE,6
RATIP,RATIP,ÖRTÜŞ,ARTIŞ,1
RATIP,RATIP,RİTİM,RATIP,2
RATIP,RATIP,RATIP,RATIP,3
RATIP,RATIP,RATIP,RATIP,4
RATIP,RATIP,RATIP,RATIP,5
RATIP,RATIP,RATIP,RATIP,6
CEBİN,SAMAN,HEMEN,LİSAN,1
CEBİN,ÇELEN,LEDÜN,YEMİN,2
CEBİN,BEYİN,YEGAN,CEBİN,3
CEBİN,CEBİN,PEŞİN,CEBİN,4
CEBİN,CEBİN,CENİN,CEBİN,5
CEBİN,CEBİN,CEBİN,CEBİN,6
MATEM,MATLA,MAKTA,MANTİ,1
MATEM,MATAH,MATEM,MATAH,2
MATEM,MATEM,MATEM,MATEM,3
MATEM,MATEM,MATEM,MATEM,4
MATEM,MATEM,MATEM,MATEM,5
MATEM,MATEM,MATEM,MATEM,6
YAHNİ,YAŞÇA,YOKÇU,YAKIN,1
YAHNİ,YARIK,YANSI,YANAY,2
YAHNİ,YAMAN,YAVAN,YAHNİ,3
YAHNİ,YAHNİ,YAHNİ,YAHNİ,4
YAHNİ,YAHNİ,YAHNİ,YAHNİ,5
YAHNİ,YAHNİ,YAHNİ,YAHNİ,6
MIHLI,LAMBA,KAPIŞ,KALIN,1
MIHLI,POLÜM,SINDI,HIZLI,2
MIHLI,MUŞLU,HIZLI,MIHLI,3
MIHLI,MIHLI,MIHLI,MIHLI,4
MIHLI,MIHLI,MIHLI,MIHLI,5
