rank,word,frequency,dispersion
20,kendi,218435,0.95
25,sonra,191249,0.96
30,zaman,160656,0.96
33,kadar,154881,0.96
39,çalış,150234,0.95
38,değil,149658,0.96
45,insan,140522,0.92
51,söyle,123725,0.94
55,başla,114750,0.96
64,üzeri,98790,0.96
65,büyük,95501,0.97
70,çocuk,93583,0.92
69,neden,91434,0.95
77,gerek,86896,0.95
76,dünya,86510,0.95
79,durum,83987,0.94
85,böyle,83266,0.91
81,düşün,82875,0.95
82,getir,79260,0.96
91,kadın,77944,0.91
87,taraf,77391,0.94
103,konuş,71942,0.93
105,ancak,71221,0.93
108,şekil,70943,0.93
102,doğru,69340,0.97
111,nasıl,67388,0.94
109,başka,66296,0.96
110,bütün,66248,0.96
117,geliş,66023,0.89
118,şimdi,65554,0.89
134,sağla,61394,0.88
131,dönem,59697,0.91
136,sonuç,59424,0.91
133,hayat,58742,0.92
137,sahip,57414,0.94
142,çünkü,53673,0.95
145,bırak,51907,0.94
161,diğer,50320,0.9
165,güzel,50139,0.89
155,artık,49211,0.94
153,bekle,49153,0.94
163,bilgi,49099,0.91
154,fazla,48510,0.95
159,değiş,47128,0.96
168,tarih,46812,0.93
175,genel,46689,0.9
174,karar,45808,0.91
172,bugün,44332,0.95
194,belir,42709,0.88
183,küçük,41667,0.95
198,biraz,40594,0.91
199,kitap,40233,0.92
196,sorun,40143,0.93
192,hemen,40017,0.95
213,değer,39541,0.89
202,kazan,38723,0.94
210,anlam,38467,0.93
227,bölge,37657,0.89
217,yaşam,37538,0.92
222,kabul,36669,0.93
231,biçim,35905,0.91
243,temel,35133,0.89
226,devam,34903,0.96
242,belki,34208,0.91
248,ifade,33605,0.92
262,süreç,33300,0.89
258,erkek,33238,0.9
249,çevre,32374,0.95
272,zaten,32264,0.87
292,parti,31644,0.84
264,kimse,31604,0.92
254,içeri,31515,0.96
290,gelir,31178,0.85
265,öğren,31158,0.94
269,hepsi,31118,0.92
287,madde,30772,0.87
267,nokta,30399,0.94
286,savaş,30146,0.9
277,yarat,29919,0.93
273,üzere,29717,0.94
285,görev,29687,0.91
280,yakın,28497,0.97
304,haber,28211,0.9
365,yüzde,28097,0.72
300,bölüm,27991,0.92
303,örnek,27893,0.92
295,şöyle,27798,0.94
301,fakat,27364,0.94
330,düzey,26890,0.85
332,asker,26339,0.85
309,belli,25728,0.97
311,topla,25240,0.97
318,hatta,25203,0.96
346,kurum,24742,0.85
338,uygun,24271,0.91
343,sınıf,24215,0.88
353,seçim,24024,0.86
349,bağlı,23394,0.9
333,hangi,23248,0.96
336,benze,23187,0.96
342,çıkar,22531,0.95
359,deniz,22106,0.92
369,yemek,22103,0.9
374,görüş,21627,0.91
371,duygu,21607,0.91
422,tamam,21517,0.8
394,yazar,21435,0.86
382,bilim,21321,0.89
377,dinle,21205,0.91
390,sabah,20754,0.89
484,sanat,20580,0.72
388,ortam,20412,0.92
378,ileri,20406,0.95
397,kısım,20157,0.9
517,banka,20087,0.69
400,hafta,20061,0.91
393,götür,19746,0.93
395,parça,19614,0.94
396,şehir,19422,0.94
431,akşam,18931,0.89
411,aşağı,18789,0.94
442,sanki,18744,0.87
405,kolay,18660,0.96
426,bakım,18641,0.91
436,hayır,18586,0.89
416,dönüş,18439,0.95
477,işlem,18374,0.82
437,koşul,18367,0.9
423,cevap,18253,0.94
470,kanun,18198,0.85
448,proje,18021,0.89
439,sebep,17983,0.91
463,sokak,17609,0.89
447,ortak,17527,0.91
433,bağla,17482,0.96
473,hedef,17192,0.89
453,tabii,17161,0.92
449,yetiş,17032,0.94
475,savun,17001,0.89
486,kurul,16963,0.87
533,müzik,16821,0.8
589,vergi,16768,0.72
534,hukuk,16760,0.81
596,fiyat,16412,0.73
673,takım,16339,0.64
613,falan,16304,0.72
522,örgüt,16299,0.85
500,sevgi,16092,0.88
512,hanım,16000,0.87
481,fikir,15877,0.93
549,pazar,15866,0.83
506,sınır,15308,0.92
560,milli,15237,0.85
508,doğal,15223,0.93
530,çözüm,15189,0.9
503,geniş,15045,0.94
552,model,15044,0.87
505,bazen,15008,0.94
541,polis,14921,0.89
580,talep,14869,0.82
539,araba,14845,0.9
573,birey,14713,0.85
653,artış,14712,0.74
584,resim,14695,0.83
525,çevir,14684,0.94
687,firma,14674,0.7
559,hesap,14658,0.88
546,kural,14402,0.91
557,bakış,14190,0.91
561,yavaş,14048,0.92
583,kesim,13905,0.88
592,öğret,13808,0.87
575,düzen,13666,0.9
595,duvar,13584,0.89
594,güneş,13468,0.9
565,ciddi,13428,0.95
788,bitki,13249,0.67
585,beyaz,13245,0.92
608,boyut,13177,0.9
619,eylem,13062,0.88
603,yansı,13005,0.92
628,bahçe,12957,0.87
605,güven,12576,0.95
685,lazım,12492,0.83
607,henüz,12397,0.95
612,güçlü,12349,0.95
663,harca,12346,0.87
659,metin,12343,0.87
650,beyin,12327,0.89
647,nüfus,12292,0.9
657,müdür,12157,0.89
703,düşük,12125,0.82
697,sahne,12086,0.84
671,iddia,11984,0.88
654,hayal,11978,0.91
675,çiçek,11940,0.88
651,derin,11893,0.92
676,katkı,11753,0.89
666,korku,11736,0.9
667,hızlı,11587,0.91
662,sıcak,11559,0.93
670,evlen,11554,0.91
721,hasta,11526,0.85
850,hücre,11522,0.7
692,rapor,11453,0.89
712,yatak,11417,0.86
660,istek,11352,0.95
678,zarar,11297,0.92
677,çağır,11286,0.93
716,basın,11283,0.87
698,merak,11226,0.9
702,mutlu,11177,0.89
706,aşama,11132,0.89
729,şarkı,11127,0.87
888,kredi,11093,0.7
681,yönel,11063,0.94
756,hüküm,11010,0.84
