Target Word,AI Prediction,Rule-Based Prediction,Entropy Prediction,Steps
LATER,SABES,ABJAD,TARES,1
LATER,RATER,NEARS,RATEL,2
LATER,LATER,RAYLE,LATER,3
LATER,LATER,LAVER,LATER,4
LATER,LATER,LACER,LATER,5
LATER,LATER,LAMER,LATER,6
ANATA,BABEL,LEAPT,TELIA,1
ANATA,AGGAG,ATAXY,HAFTA,2
ANATA,ANANA,ANATA,JUNTA,3
ANATA,ANATA,ANATA,ANATA,4
ANATA,ANATA,ANATA,ANATA,5
ANATA,ANATA,ANATA,ANATA,6
AMMOS,SCABS,PUMPS,LARIS,1
AMMOS,AAPAS,LAMAS,DOPAS,2
AMMOS,ALOOS,AMMOS,AMMOS,3
AMMOS,ARVOS,AMMOS,AMMOS,4
AMMOS,ADIOS,AMMOS,AMMOS,5
AMMOS,AMMOS,AMMOS,AMMOS,6
FRANC,RABAT,LOAST,TARNS,1
FRANC,SPARS,GRAMA,KRONA,2
FRANC,KRANZ,BRAVI,WRANG,3
FRANC,GRANO,PRAHU,FRANC,4
FRANC,FRANC,WRACK,FRANC,5
FRANC,FRANC,CRAZY,FRANC,6
DESHI,MINES,PINGS,TINES,1
DESHI,DESHI,QUASI,COSIE,2
DESHI,DESHI,CESTI,DESHI,3
DESHI,DESHI,DESHI,DESHI,4
DESHI,DESHI,DESHI,DESHI,5
DESHI,DESHI,DESHI,DESHI,6
ADDER,CADEE,NAPED,AIRED,1
ADDER,ADDER,ARDEB,ALDER,2
ADDER,ADDER,ADDER,ADDER,3
ADDER,ADDER,ADDER,ADDER,4
ADDER,ADDER,ADDER,ADDER,5
ADDER,ADDER,ADDER,ADDER,6
SELVA,SELAH,HALSE,SALLE,1
SELVA,SELLA,SELLA,SELVA,2
SELVA,SELVA,SELVA,SELVA,3
SELVA,SELVA,SELVA,SELVA,4
SELVA,SELVA,SELVA,SELVA,5
SELVA,SELVA,SELVA,SELVA,6
HOLEY,SOLES,COLLY,TOLES,1
HOLEY,TOLED,JOLTY,MOLED,2
HOLEY,HOLEY,DOLEY,COLEY,3
